county_code,establishment_id,inspection_id,inspection_date,establishment_name,street_address,city,zip,state_id,establishment_type,score,grade,inspector_id
1,,,12/31/2024,CARUSO'S PIZZA,1501 E MAIN ST,MEBANE,27302,3001010897,1 - Restaurant,97.5,A,2967
1,,,12/31/2024,LA MILPITA RESTAURANT,1821 N CHURCH BURLINGTON,,27217,3001011536,1 - Restaurant,98.5,A,3281
1,,,12/31/2024,PIEDMONT ALE HOUSE,1149-A ST MARKS CHURCH RD,BURLINGTON,27215,3001010955,1 - Restaurant,96.5,A,2709
1,,,12/31/2024,ROSE & RAE'S CAFE,1143 SAINT MARK'S CHURCH ROAD,UNIT G BURLINGTON,27215,3001011096,1 - Restaurant,99.0,A,2709
1,,,12/30/2024,CIELITO LINDO MEXICAN GRILL,808 E MAIN ST,HAW RIVER,27258,3001011123,1 - Restaurant,98.0,A,3281
1,,,12/30/2024,PANERA BREAD BAKERY CAFE 4989,563 HUFFMAN MILL RD,BURLINGTON,27215,3001011381,1 - Restaurant,97.5,A,3354
4,,,12/30/2024,WADESBORO IGA DELI,805 CAMDEN ROAD,WADESBORO,28170,5004010164,1 - Restaurant,97.0,A,2651
4,,,12/27/2024,ZILLA PIZZA,8022 HWY,52 WADESBORO,28170,5004010184,1 - Restaurant,99.0,A,2651
4,,,12/16/2024,PIZZA HUT 036716,1118 E CASWELL ST,WADESBORO,28170,5004011201,1 - Restaurant,100.0,A,2651
5,,,12/20/2024,MOUNTAIN AIRE SEAFOOD AND STEAKS,9930 NC HWY 16 SOUTH WEST,JEFFERSON,28694,3005010187,1 - Restaurant,94.5,A,2448
5,,,12/19/2024,CRAFT BISTRO,8 MAIN STREET WEST,JEFFERSON,28694,3005010341,1 - Restaurant,96.0,A,2481
5,,,12/19/2024,FOOD LION PRODUCE #156,733 EAST MAIN STREET,JEFFERSON,28640,3005020084,2 - Food Stands,98.5,A,2448
5,,,12/13/2024,"TASTY HALAL, INC.",626 ASHE CENTRAL SCHOOL RD,JEFFERSON,28640,3005030027,3 - Mobile Food,94.0,A,2481
